20,800,500,700,1000,1000,750,,,,,,,,,,,,,,,,,,,,27,28,29,30,31,配置尾气模型时，注意小火0模型-大火0模型不能为空;小火0模型对应小火0Pos，依次对应,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,54,,,
车名,甩尾能力,重量,转向能力,最高速度,加速能力,技能回复,,漂移粒子位置,说明,,轮胎0模型,轮胎1模型,轮胎2模型,轮胎3模型,轮胎0位置（前右）,轮胎1位置（前左）,轮胎2位置（后右）,轮胎3位置（后左）,车轮放缩,制造时间,需要车间等级,所属图谱-普通0/特殊1,制造需要基础车型,车辆等级,消耗资源,人物最低需求等级,消耗积分,,,,小火0模型,小火1模型,小火2模型,小火3模型,小火4模型,小火5模型,小火0-Pos,小火1-Pos,小火2-Pos,小火3-Pos,小火4-Pos,小火5-Pos,大火0模型,大火1模型,大火2模型,大火3模型,大火4模型,大火5模型,大火0-Pos,大火1-Pos,大火2-Pos,大火3-Pos,大火4-Pos,大火5-Pos,,,,,"PosX,PosY,PosZ","RotX,RotY,RotZ"
7001,0,0,0,0,0,0,,"0.0f,0.38f,30.354f",基础车型,,res/model/avatar/car/l/luntai/car7001_luntai.dat,res/model/avatar/car/luntai/car7001_luntai.dat,res/model/avatar/car/luntai/car7001_luntai.dat,res/model/avatar/car/luntai/car7001_luntai.dat,"-25.552f,9.117f,-15.832f","26.803f,9.117f,-15.832f","-25.552f,9.117f,11.027f","26.803f,9.117f,11.027f",1,10,0,0,0,0,,0,100,,,,res/model/avatar/car/carfire/sfire_7004.dat,res/model/avatar/car/carfire/sfire_7004.dat,,,,,"21.611f,24.24f,27.586f","-20.514f,24.135f,27.683f",,,,,res/model/avatar/car/carfire/bfire_7001.dat,res/model/avatar/car/carfire/bfire_7001.dat,,,,,"21.855f,24.808f,31.661f","-20.593f,24.808f,31.793f",,,,,,,,,"0.0f,-10.0f,15.0f","0.0f,0.523f,0.0f"
7002,0.28,0.08,0.24,0.42,0.31,0.32,,"0.0f,0.38f,30.355f",轻便简洁的车身造型，时尚而优雅，紫色的格调，自由而典雅。搭载了紫色动力引擎，该引擎动力十足，而且有静音耐磨技术。让你驾驶的心情快乐而愉悦。,,res/model/avatar/car/luntai/saiche02_luntai.dat,res/model/avatar/car/luntai/saiche02_luntai.dat,res/model/avatar/car/luntai/saiche02_luntai.dat,res/model/avatar/car/luntai/saiche02_luntai.dat,"-21.053f,9.882f,-16.477f","21.053f,9.882f,-16.477f","-24.273f,9.882f,14.378f","22.045f,9.882f,14.378f",1,140400,9,0,8,9,"1007,2000;1008,2000;1009,2000;",40,40000,,,,res/model/avatar/car/carfire/sfire_saiche02.dat,res/model/avatar/car/carfire/sfire_saiche02.dat,,,,,"24.684f,26.711f,32.24f","-22.913f,26.34f,33.214f",,,,,res/model/avatar/car/carfire/bfire_saiche02.dat,res/model/avatar/car/carfire/bfire_saiche02.dat,,,,,"24.831f,26.831f,37.397f","-22.766f,26.46f,38.372f",,,,,,,,,"0.0f,-10.0f,15.0f","0.0f,0.523f,0.0f"
7003,0.05,0.05,0.05,0.06,0.04,0,,"0.0f,0.38f,30.356f",火红的色彩抹出这款赛车的性格，没错这就是红牛赛车。尤其值得一提的是车身材料由烈钢打造而成，坚硬而耐损。,,res/model/avatar/car/luntai/saiche01_luntai.dat,res/model/avatar/car/luntai/saiche01_luntai.dat,res/model/avatar/car/luntai/saiche01_luntai.dat,res/model/avatar/car/luntai/saiche01_luntai.dat,"-23.931f,8.266f,-21.931f","23.931f,8.266f,-21.931f","-22.188f,8.266f,15.515f","22.188f,8.266f,15.515f",1,3600,1,1,7018,1,,0,500,,,,res/model/avatar/car/carfire/sfire_saiche01.dat,res/model/avatar/car/carfire/sfire_saiche01.dat,,,,,"19.019f,24.377f,28.287f","-19.393f,24.118f,28.175f",,,,,res/model/avatar/car/carfire/bfire_saiche01.dat,res/model/avatar/car/carfire/bfire_saiche01.dat,,,,,"19.166f,24.239f,33.445f","-19.246f,24.239f,33.332f",,,,,,,,,"0.0f,-10.0f,15.0f","0.0f,0.523f,0.0f"
7004,0.04,0.07,0.02,0.05,0.035,0,,"0.0f,0.38f,30.357f",经典橘黄风，活泼的曲线设计，精美的外形，配备了舒适的车手坐椅。没有比你的驾驶愉悦更重要的了。当然搭载了橙色动力引擎，车速同样也会让你满意的。,,res/model/avatar/car/luntai/car7004_luntai.dat,res/model/avatar/car/luntai/car7004_luntai.dat,res/model/avatar/car/luntai/car7004_luntai.dat,res/model/avatar/car/luntai/car7004_luntai.dat,"-20.366f,8.779f,-22.572f","20.366f,8.779f,-22.572f","-21.696f,8.779f,16.751f","21.696f,8.779f,16.751f",1,3600,1,0,1,1,,0,500,,,,res/model/avatar/car/carfire/sfire_7004.dat,res/model/avatar/car/carfire/sfire_7004.dat,,,,,"26.912f,23.361f,31.13f","-28.74f,23.361f,31.126f",,,,,res/model/avatar/car/carfire/bfire_7004.dat,res/model/avatar/car/carfire/bfire_7004.dat,,,,,"27.059f,23.482f,36.288f","-28.593f,23.482f,36.283f",,,,,,,,,"-8.0f,-10.0f,10.0f","0.0f,0.523f,0.0f"
7005,0.25,0.04,0.23,0.38,0.28,0.25,,"0.0f,0.38f,30.358f",由高贵的橘黄宝石打造的车体，虽然只有3个轮子但配置强劲的喷射流星脉冲为赛车提供稳定而持久的高速动力，使3个轮子也拥有不输给4轮赛车的强劲动力。,,res/model/avatar/car/luntai/car7005_luntai.dat,,res/model/avatar/car/luntai/car7005_luntai.dat,res/model/avatar/car/luntai/car7005_luntai.dat,"0.0f,7.837f,-34.776f",,"-21.805f,9.393f,22.707f","21.805f,9.393f,22.707f",1,108000,8,0,7,8,"1007,1600;1008,1600;1009,1600;",36,27000,,,,res/model/avatar/car/carfire/sfire_7004.dat,res/model/avatar/car/carfire/sfire_7004.dat,,,,,"23.441f,21.783f,45.768f","-23.663f,21.783f,45.768f",,,,,res/model/avatar/car/carfire/bfire_7009.dat,res/model/avatar/car/carfire/bfire_7009.dat,res/model/avatar/car/carfire/bfire_7009.dat,,,,"23.765f,21.783f,37.284f","-23.692f,21.783f,37.284f","0.316f,10.556f,23.293f",,,,,,,,"-10.0f,-10.0f,8.0f","0.0f,0.523f,0.0f"
7006,0.32,0.1,0.21,0.44,0.33,0.25,,"0.0f,0.38f,30.359f",小巧流线的车身，减小了阻力，获得了更快的速度，黑金引擎的配置与黑水晶材料车体浑然天成，强劲的动力不失操作性，高手往往能驾驶它抹杀一切竞争者。,,res/model/avatar/car/luntai/car7006_luntai.dat,res/model/avatar/car/luntai/car7006_luntai.dat,res/model/avatar/car/luntai/car7006_luntai.dat,res/model/avatar/car/luntai/car7006_luntai.dat,"-21.881f,8.991f,-15.849f","21.701f,8.991f,-15.849f","-21.881f,8.991f,14.255f","21.701f,8.991f,14.255f",1,140400,9,0,8,9,"1007,2000;1008,2000;1009,2000;",40,40000,,,,res/model/avatar/car/carfire/sfire_7004.dat,res/model/avatar/car/carfire/sfire_7004.dat,,,,,"23.232f,22.331f,32.341f","-23.917f,22.331f,32.336f",,,,,res/model/avatar/car/carfire/bfire_7004.dat,res/model/avatar/car/carfire/bfire_7004.dat,,,,,"23.38f,22.452f,37.498f","-23.77f,22.452f,37.494f",,,,,,,,,"0.0f,-10.0f,12.0f","0.0f,0.523f,0.0f"
7007,0.2,0.04,0.03,0.23,0.155,0.2,,"0.0f,0.38f,30.360f",传说这个世界有四个神奇玉米，一个梦想成为车手的勇者，历经磨难得到了它们，并花了四年时间做成了传说中的玉米车。在不经意见玉米将带你创造传说。,,res/model/avatar/car/luntai/car7007_luntai1.dat,res/model/avatar/car/luntai/car7007_luntai1.dat,res/model/avatar/car/luntai/car7007_luntai2.dat,res/model/avatar/car/luntai/car7007_luntai2.dat,"-23.331f,10.987f,-14.568f","23.331f,10.987f,-14.568f","-23.331f,12.43f,34.251f","23.331f,12.43f,34.251f",1,43200,5,0,4,5,"1001,440;1002,440;1003,440;",23,6800,,,,res/model/avatar/car/carfire/sfire_7004.dat,res/model/avatar/car/carfire/sfire_7004.dat,,,,,"23.66f,30.093f,46.515f","-23.42f,30.093f,46.515f",,,,,res/model/avatar/car/carfire/bfire_7015.dat,res/model/avatar/car/carfire/bfire_7015.dat,,,,,"23.802f,30.214f,52.365f","-23.278f,30.214f,52.365f",,,,,,,,,"-10.0f,-10.0f,8.0f","0.0f,0.523f,0.0f"
7008,0.08,0.08,0.06,0.09,0.06,0,,"0.0f,0.38f,30.361f",变身为赛车的鲨鱼，具有惊人的魔力。鲨鱼将鳍变成轮胎，将在大海中惊人的速度用于奔驰在陆地上。如果你能驾驭它的话，它将成为战无不胜的终极赛车。,,res/model/avatar/car/luntai/car7008_luntai.dat,res/model/avatar/car/luntai/car7008_luntai.dat,res/model/avatar/car/luntai/car7008_luntai.dat,res/model/avatar/car/luntai/car7008_luntai.dat,"-20.589f,9.321f,-12.052f","20.065f,9.321f,-12.052f","-20.589f,9.321f,14.807f","19.396f,9.321f,14.807f",1,7200,2,0,1,2,,5,1500,,,,res/model/avatar/car/carfire/sfire_7004.dat,res/model/avatar/car/carfire/sfire_7004.dat,,,,,"20.885f,24.364f,28.236f","-21.384f,24.364f,28.236f",,,,,res/model/avatar/car/carfire/bfire_7008.dat,res/model/avatar/car/carfire/bfire_7008.dat,res/model/avatar/car/carfire/bfire_7008.dat,res/model/avatar/car/carfire/bfire_7008.dat,,,"20.856f,24.364f,18.053f","-21.413f,24.364f,18.053f","11.366f,10.632f,19.721f","-11.23f,11.103f,19.144f",,,,,,,"-8.0f,-10.0f,10.0f","0.0f,0.523f,0.0f"
